機械学習スタートアップシリーズ Pythonで学ぶ強化学習 入門から実践まで (KS情報科学専門書),講談社 /   2019年1月17日発売,久保隆宏
"機械学習のエッセンス -実装しながら学ぶPython,数学,アルゴリズム- (Machine Learning)",SBクリエイティブ /  2018年9月21日発売,加藤公一
エレガントなSciPy ―Pythonによる科学技術計算,オライリージャパン /   2018年11月10日発売,Juan Nunez-Iglesias
PythonとKerasによるディープラーニング,マイナビ出版 / 2018年5月28日発売,Francois Chollet
前処理大全[データ分析のためのSQL/R/Python実践テクニック],技術評論社 /  2018年4月13日発売,本橋智光
現場で使える! TensorFlow開発入門 Kerasによる深層学習モデル構築手法,翔泳社 /   2018年4月19日発売,太田満久
ゼロから作るDeep Learning ―Pythonで学ぶディープラーニングの理論と実装,オライリージャパン / 2016年9月24日発売,斎藤康毅
ゼロから作るDeep Learning ? ―自然言語処理編,オライリージャパン /  2018年7月21日発売,斎藤康毅
TensorFlowではじめるDeepLearning実装入門 (impress top gear),インプレス /  2018年2月16日発売,新村拓也
英語ライティングルールブック　第2版　正しく伝えるための文法・語法・句読法,ディーエイチシー / 2011年8月5日発売,デイヴィッド・セイン
日本統計学会公式認定 統計検定 2級 公式問題集[2012~2014年],実務教育出版 /  2015年3月21日発売,
大学院入試の英文法,秀和システム /  2017年3月21日発売,湯川彰浩
CD2枚付 はじめての新TOEICテスト 全パート単語対策 (はじめての新TOEICテストシリーズ),アスク /  2013年12月1日発売,塚田幸光
CD付 新形式対応 はじめての新TOEIC テスト 全パート総合対策 別冊「とらの巻」付 (はじめての新TOEICテストシリーズ),アスク /  2011年10月1日発売,塚田幸光
Linux教科書 LPICレベル1 第5版,翔泳社 /   2012年9月19日発売,中島能和
LaTeX2E 標準コマンド ポケットリファレンス (POCKET REFERENCE),技術評論社 /  2005年6月25日発売,本田知亮
新しい高校生物の教科書―現代人のための高校理科 (ブルーバックス),講談社 / 2006年1月21日発売,栃内新
心理-論理と態度理論への数理アプローチ,松香党/     2006年8月30日発売,小杉考司
常微分方程式,共立出版/ 1970年10月10日,木村俊房（校閲）千葉克裕（訳）
