タイトル,著者,出版社/出版年月日,amazon
キャッチャー・イン・ザ・ライ (ペーパーバック・エディション),J.D.サリンジャー,"白水社 / 
          2006年4月1日発売",https://www.amazon.co.jp/dp/4560090009?tag=booklogjp-default-22&linkCode=ogi&th=1&psc=1
行動分析学 (有斐閣アルマ > Specialized),坂上貴之,"有斐閣 / 
          2018年3月23日発売",https://www.amazon.co.jp/dp/4641221022?tag=booklogjp-default-22&linkCode=ogi&th=1&psc=1
機械学習スタートアップシリーズ Pythonで学ぶ強化学習 入門から実践まで (KS情報科学専門書),久保隆宏,"講談社 / 
          2019年1月17日発売",https://www.amazon.co.jp/dp/4065142989?tag=booklogjp-default-22&linkCode=ogi&th=1&psc=1
"機械学習のエッセンス -実装しながら学ぶPython,数学,アルゴリズム- (Machine Learning)",加藤公一,"SBクリエイティブ / 
          2018年9月21日発売",https://www.amazon.co.jp/dp/4797393963?tag=booklogjp-default-22&linkCode=ogi&th=1&psc=1
Linux教科書 LPICレベル1 第5版,中島能和,"翔泳社 / 
          2012年9月19日発売",https://www.amazon.co.jp/dp/4798127922?tag=booklogjp-default-22&linkCode=ogi&th=1&psc=1
LaTeX2E 標準コマンド ポケットリファレンス (POCKET REFERENCE),本田知亮,"技術評論社 / 
          2005年6月25日発売",https://www.amazon.co.jp/dp/4774124230?tag=booklogjp-default-22&linkCode=ogi&th=1&psc=1
みんなのR 第2版,Jared P. Lander,マイナビ出版 /             2018年12月28日発売,https://www.amazon.co.jp/dp/4839962154?tag=booklogjp-default-22&linkCode=ogi&th=1&psc=1
みえる人体―構造・機能・病態,Steve Parker,"南江堂 / 
          2009年10月15日発売",https://www.amazon.co.jp/dp/4524250719?tag=booklogjp-default-22&linkCode=ogi&th=1&psc=1
MATLABプログラミング入門,上坂吉則,"牧野書店 / 
          2011年5月1日発売",https://www.amazon.co.jp/dp/4434155911?tag=booklogjp-default-22&linkCode=ogi&th=1&psc=1
前処理大全[データ分析のためのSQL/R/Python実践テクニック],本橋智光,"技術評論社 / 
          2018年4月13日発売",https://www.amazon.co.jp/dp/4774196479?tag=booklogjp-default-22&linkCode=ogi&th=1&psc=1
入門確率過程,松原望,"東京図書 / 
          2003年11月1日発売",https://www.amazon.co.jp/dp/4489006594?tag=booklogjp-default-22&linkCode=ogi&th=1&psc=1
日本統計学会公式認定 統計検定 2級 公式問題集[2012~2014年],,"実務教育出版 / 
          2015年3月21日発売",https://www.amazon.co.jp/dp/4788925257?tag=booklogjp-default-22&linkCode=ogi&th=1&psc=1
OD>ペイズ統計入門,繁桝算男,東京大学出版会 /             2011年10月31日発売,https://www.amazon.co.jp/dp/4130090623?tag=booklogjp-default-22&linkCode=ogi&th=1&psc=1
プログラマの数学第2版,結城浩,"SBクリエイティブ / 
          2018年1月17日発売",https://www.amazon.co.jp/dp/4797395451?tag=booklogjp-default-22&linkCode=ogi&th=1&psc=1
"Pythonによるスクレイピング&機械学習 開発テクニック BeautifulSoup,scikit-learn,TensorFlowを使ってみよう",クジラ飛行机,"ソシム / 
          2016年12月6日発売",https://www.amazon.co.jp/dp/4802610793?tag=booklogjp-default-22&linkCode=ogi&th=1&psc=1
PythonとKerasによるディープラーニング,Francois Chollet,"マイナビ出版 / 
          2018年5月28日発売",https://www.amazon.co.jp/dp/4839964262?tag=booklogjp-default-22&linkCode=ogi&th=1&psc=1
Rで楽しむ統計 (Wonderful R 1),奥村晴彦,共立出版 /             2016年9月8日発売,https://www.amazon.co.jp/dp/4320112415?tag=booklogjp-default-22&linkCode=ogi&th=1&psc=1
RとShinyで作るWebアプリケーション,梅津雄一,シーアンドアール研究所 /             2018年11月7日発売,https://www.amazon.co.jp/dp/4863542577?tag=booklogjp-default-22&linkCode=ogi&th=1&psc=1
R初心者のためのABC,A.ジュール,シュプリンガー・ジャパン /             2010年12月22日発売,https://www.amazon.co.jp/dp/4431102205?tag=booklogjp-default-22&linkCode=ogi&th=1&psc=1
Rで楽しむベイズ統計入門[しくみから理解するベイズ推定の基礎] (Data Science Library),奥村晴彦,技術評論社 /             2018年1月16日発売,https://www.amazon.co.jp/dp/4774195030?tag=booklogjp-default-22&linkCode=ogi&th=1&psc=1
Rによる心理データ解析,山田剛史,ナカニシヤ出版 /             2015年9月10日発売,https://www.amazon.co.jp/dp/4779508673?tag=booklogjp-default-22&linkCode=ogi&th=1&psc=1
Rでらくらく心理統計 RStudio徹底活用 (KS心理学専門書),小杉考司,講談社 /             2019年1月25日発売,https://www.amazon.co.jp/dp/4065144876?tag=booklogjp-default-22&linkCode=ogi&th=1&psc=1
Rによるやさしい統計学,山田剛史,オーム社 /             2008年1月25日発売,https://www.amazon.co.jp/dp/4274067106?tag=booklogjp-default-22&linkCode=ogi&th=1&psc=1
再現可能性のすゝめ (Wonderful R 3),高橋康介,共立出版 /             2018年5月9日発売,https://www.amazon.co.jp/dp/4320112431?tag=booklogjp-default-22&linkCode=ogi&th=1&psc=1
社会科学のための ベイズ統計モデリング (統計ライブラリー　),浜田宏,朝倉書店 /             2019年12月1日発売,https://www.amazon.co.jp/dp/4254128428?tag=booklogjp-default-22&linkCode=ogi&th=1&psc=1
スバラシク実力がつくと評判の線形代数キャンパス・ゼミ―大学の数学がこんなに分かる!単位なんて楽に取れる!,馬場敬之,"マセマ / 
          2017年10月1日発売",https://www.amazon.co.jp/dp/4866150556?tag=booklogjp-default-22&linkCode=ogi&th=1&psc=1
数学書の読みかた,竹山美宏,"森北出版 / 
          2022年3月8日発売",https://www.amazon.co.jp/dp/4627082819?tag=booklogjp-default-22&linkCode=ogi&th=1&psc=1
ソーシャル物理学:「良いアイデアはいかに広がるか」の新しい科学,アレックス・ペントランド,"草思社 / 
          2015年9月17日発売",https://www.amazon.co.jp/dp/479422155X?tag=booklogjp-default-22&linkCode=ogi&th=1&psc=1
新・知のツールボックス―新入生のための学び方サポートブック,,"専修大学出版局 / 
          2018年3月1日発売",https://www.amazon.co.jp/dp/4881253263?tag=booklogjp-default-22&linkCode=ogi&th=1&psc=1
その問題、やっぱり数理モデルが解決します,浜田宏,"ベレ出版 / 
          2020年9月14日発売",https://www.amazon.co.jp/dp/4860646304?tag=booklogjp-default-22&linkCode=ogi&th=1&psc=1
その問題、数理モデルが解決します,浜田宏,"ベレ出版 / 
          2018年12月12日発売",https://www.amazon.co.jp/dp/4860645685?tag=booklogjp-default-22&linkCode=ogi&th=1&psc=1
